,LocationID,Borough,Zone,address,lat,lon
224,225,Brooklyn,Stuyvesant Heights,"Stuyvesant Heights,Brooklyn, New York",40.6812872,-73.9437748
225,226,Queens,Sunnyside,"Sunnyside,Queens, New York",40.7398242,-73.9354153
226,227,Brooklyn,Sunset Park East,"Sunset Park East,Brooklyn, New York",,
227,228,Brooklyn,Sunset Park West,"Sunset Park West,Brooklyn, New York",,
228,229,Manhattan,Sutton Place/Turtle Bay North,"Sutton Place/Turtle Bay North,Manhattan, New York",,
229,230,Manhattan,Times Sq/Theatre District,"Times Sq/Theatre District,Manhattan, New York",40.7595077,-73.9841594
230,231,Manhattan,TriBeCa/Civic Center,"TriBeCa/Civic Center,Manhattan, New York",40.7078494,-74.0089818
231,232,Manhattan,Two Bridges/Seward Park,"Two Bridges/Seward Park,Manhattan, New York",,
232,233,Manhattan,UN/Turtle Bay South,"UN/Turtle Bay South,Manhattan, New York",,
233,234,Manhattan,Union Sq,"Union Sq,Manhattan, New York",40.7360717,-73.9901888
234,235,Bronx,University Heights/Morris Heights,"University Heights/Morris Heights,Bronx, New York",40.8601,-73.909303
235,236,Manhattan,Upper East Side North,"Upper East Side North,Manhattan, New York",,
236,237,Manhattan,Upper East Side South,"Upper East Side South,Manhattan, New York",,
237,238,Manhattan,Upper West Side North,"Upper West Side North,Manhattan, New York",,
238,239,Manhattan,Upper West Side South,"Upper West Side South,Manhattan, New York",,
239,240,Bronx,Van Cortlandt Park,"Van Cortlandt Park,Bronx, New York",40.8970755,-73.8865797
240,241,Bronx,Van Cortlandt Village,"Van Cortlandt Village,Bronx, New York",,
241,242,Bronx,Van Nest/Morris Park,"Van Nest/Morris Park,Bronx, New York",40.8484336,-73.8637463
242,243,Manhattan,Washington Heights North,"Washington Heights North,Manhattan, New York",,
243,244,Manhattan,Washington Heights South,"Washington Heights South,Manhattan, New York",,
244,245,Staten Island,West Brighton,"West Brighton,Staten Island, New York",40.6345481,-74.1120867
245,246,Manhattan,West Chelsea/Hudson Yards,"West Chelsea/Hudson Yards,Manhattan, New York",40.7518826,-74.0037922
246,247,Bronx,West Concourse,"West Concourse,Bronx, New York",40.8237375,-73.9230056
247,248,Bronx,West Farms/Bronx River,"West Farms/Bronx River,Bronx, New York",40.8413003,-73.877865
248,249,Manhattan,West Village,"West Village,Manhattan, New York",40.7342364,-74.0056259
249,250,Bronx,Westchester Village/Unionport,"Westchester Village/Unionport,Bronx, New York",,
250,251,Staten Island,Westerleigh,"Westerleigh,Staten Island, New York",40.621215,-74.1318094
251,252,Queens,Whitestone,"Whitestone,Queens, New York",40.7888409,-73.813779
252,253,Queens,Willets Point,"Willets Point,Queens, New York",40.796708,-73.779396
253,254,Bronx,Williamsbridge/Olinville,"Williamsbridge/Olinville,Bronx, New York",,
254,255,Brooklyn,Williamsburg (North Side),"Williamsburg (North Side),Brooklyn, New York",,
255,256,Brooklyn,Williamsburg (South Side),"Williamsburg (South Side),Brooklyn, New York",,
256,257,Brooklyn,Windsor Terrace,"Windsor Terrace,Brooklyn, New York",40.653487,-73.977196
257,258,Queens,Woodhaven,"Woodhaven,Queens, New York",40.6892698,-73.8579131
258,259,Bronx,Woodlawn/Wakefield,"Woodlawn/Wakefield,Bronx, New York",40.8981332,-73.8589414
259,260,Queens,Woodside,"Woodside,Queens, New York",40.7461604,-73.9032853
260,261,Manhattan,World Trade Center,"World Trade Center,Manhattan, New York",40.7119004,-74.012527
261,262,Manhattan,Yorkville East,"Yorkville East,Manhattan, New York",40.7689307,-73.9596964
262,263,Manhattan,Yorkville West,"Yorkville West,Manhattan, New York",40.7667699,-73.9468192
263,264,Unknown,Unknown,"Unknown,Unknown, New York",12.4989994,124.6746741
264,265,Unknown,Unknown,"Unknown,Unknown, New York",12.4989994,124.6746741
